*CC*
*CC(*)C
*CC(*)CC
*CC(*)CCC
*CC(*)C(C)C
*CC(*)CCCC
*CC(*)CC(C)C
*CC(*)CCCCC
*CC(*)CCC(C)CC
*CC(*)CCCCCCC
*CC(*)CCCCCCCC
*CC(*)(C)C
*CC(*)(C)CC
*CCC(*)(C)C
*CC(C)C(*)(C)C
*CCCC(*)(C)C
*CCCC(*)(C)CC
*CCCCCCCC(*)C
*CC(*)C1CC1
*CC(*)C1CCC1
*CC(*)C1CCCC1
*CC(*)CC1CCCC1
*CC(*)C1CCCCC1
*CC(*)CC1CCCCC1
*CC(*)Cc1ccccc1
*CC(*)CCc1ccccc1
*CC(*)C(C)c1ccccc1
*CC1CCC(*)C1
*CC(*)CCCCCC
*CC(*)CCCCCCCCCC
*CC(*)CCCCCCCCCCCC
*CC(*)C(C)CC
*CC(*)C(CC)CC
*CC(*)CC(CC)CC
*CC(*)CC(C)CC
*CC(*)CC(C)(C)C
*CC(*)CC(C)(C)CC
*CC(*)CCCC(C)(C)C
*CC(*)CCC1CCCCC1
*CC(*)CCCC1CCCCC1
*CC1(*)CCC(C)CC1
*CC(*)(C)CCC
*/C=C/CC*
*/C=C\CC*
*C=CCC*
*C(C)C(*)C
*/C=C/*
*CCC(C)C(*)C
*CCC1CCCC1*
*C=CCCCCCCCC*
*/C=C/CCCCCCCCCC*
*CC(*)CCCCCCCCCCCCCC
*C=CCCCCCC*
*/C=C/CCC*
*CC(*)C(C)(C)C
*/C=C\CCCC*
*CC(*)CCCCCCCCCCCCC
*C(CC)C(*)CC
*CC(*)CCCCCCCCCCC
*CC(*)CCCCCCCCC
*CC(*)C1CCCC(C)C1
*CC(*)C1CCC(C)CC1
*CC(*)C1CC=CCC1
*CCC=C(*)CCCCCCC
*CCC=C(*)C(C)C
*/C=C\CCC*
*CC(*)CCC(C)(C)C
*C1CCC1*
*/C=C\*
*/C=C\CCCCC*
*C=CC1CCC(*)C1
*/C=C/C(C*)C(C)CC
*CCC=C(*)CCC
*C=CCCCCCCCCCC*
*CC1(*)CCCCC1
*C=CC(C)CCCCC*
*CC/C=C(\*)C(C)(C)C
*CC(*)c1ccccc1
*CC(*)c1ccccc1C
*CC(*)c1ccccc1CC
*CC(*)c1ccccc1COC
*CC(*)c1ccccc1COCC
*CC(*)c1ccccc1COCCC
*CC(*)c1ccccc1COC(C)C
*CC(*)c1ccccc1COCCCC
*CC(*)c1ccccc1COCCCCC
*CC(*)c1ccccc1COCCC(C)C
*CC(*)c1ccccc1COCc1ccccc1
*CC(*)c1ccccc1COCCc1ccccc1
*CC(*)c1ccccc1C(=O)NC
*CC(*)c1ccccc1C(=O)N(C)C
*CC(*)c1ccccc1C(=O)Nc1ccccc1
*CC(*)c1ccccc1C(=O)O
*CC(*)c1ccccc1C(=O)OC
*CC(*)c1ccccc1C(=O)OCC
*CC(*)c1ccccc1C(=O)OCCC
*CC(*)c1ccccc1C(=O)OC(C)C
*CC(*)c1ccccc1C(=O)OCCCC
*CC(*)c1ccccc1C(=O)OCC(C)C
*C(c1ccccc1)C(*)[N+](=O)[O-]
*CC(*)O[N+](=O)[O-]
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1
*CC(*)CNc1ccc([N+](=O)[O-])cc1
*CC(*)CNc1ccc([N+](=O)[O-])cn1
*CC(*)CNc1ccc([N+](=O)[O-])cc1C
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
*CC(*)(C)C(=O)OCCO[N+](=O)[O-]
*CC(c1ccc(S(=O)(=O)[O-])cc1)*
*CC(Cc1ccc(S(=O)(=O)[O-])cc1)*
*CC(CCc1ccc(S(=O)(=O)[O-])cc1)*
*CC(c1ccc(CS(=O)(=O)[O-])cc1)*
*CC(c1ccc(CCS(=O)(=O)[O-])cc1)*
*CC(C(=O)[O-])*
*CC(CC(=O)[O-])*
*CC(CC(=O)[O-])*
*CC([O-])*
*CC(C[O-])*
*CC(CC[O-])*
*C[C+]([H])*
*C[C+](C)*
*C[C+](CC)*
*C[C-]([H])*
*C[C-](C)*
*C[C-](CC)*
*C(C)[C+]([H])*
*C(C)[C+](C)*
*C(C)[C+](CC)*
*C(C)[C-]([H)]*
*C(C)[C-](C)*
*C(C)[C-](CC)*
*C(=O)C([N+]([H])([H])([H]))CCCCN*
*CC[N+]([H])(CC)CC*
*C[N+]([H])(C)C*
*CC[N+](CC)(CC)CC*
*C[N+](C)(C)C*
*CC[N+]([H])([H])*
*CC([N+]([H])([H])([H]))*
*CC(C[N+]([H])([H])([H]))*
*CC(CC[N+]([H])([H])([H]))*
*CC(C[N+]([H])(C)C)*
*CC(CC[N+]([H])(C)C)*
*CC(CC[N+]([H])(C)C)*
*CC(C[N+](C)(C)C)*
*CC(CC[N+](C)(C)C)*
*CC(CC[N+](C)(C)C)*
*CC(C[N+](C)(C)CCC(S(=O)(=O)[O-]))*
*CC(CC[N+](C)(C)CCC(S(=O)(=O)[O-]))*
*CC(CCC[N+](C)(C)CCC(S(=O)(=O)[O-]))*
*CC(C[N+](C)(C)CCC(C(=O)[O-]))*
*CC(CC[N+](C)(C)CCC(C(=O)[O-]))*
*CC(CCC[N+](C)(C)CCC(C(=O)[O-]))*
*CC(c1cc[n+]([H])cc1)*
*CC(c1cc[n+](C)cc1)*
*CC(c1ccc(OP(=O)([O-])[O-])cc1)*
*CC(Cc1ccc(OP(=O)([O-])[O-])cc1)*
*CC(CCc1ccc(OP(=O)([O-])[O-])cc1)*
*CC(c1ccc(COP(=O)([O-])[O-])cc1)*
*CC(c1ccc(CCOP(=O)([O-])[O-])cc1)*
*CC(C[N+](C)(C)CCC(OP(=O)([O-])[O-]))*
*CC(CC[N+](C)(C)CCC(OP(=O)([O-])[O-]))*
*CC(CCC[N+](C)(C)CCC(OP(=O)([O-])[O-]))*
